Speaker,Line
Bart,"Hey, Otto-man! Oooh, what's that?"
Bart,Cool!
Bart,The guy who played Fallout Boy on TV?
Bart,"Wow, I guess he wasn't killed in Vietnam."
Bart,"Ooh. Ooh. Ooh. Ooh. Over here, Fallout Boy! Oh, oh, me... me... me... me, me."
Bart,Do you think the ghost of Dirk Richter haunts the bordello where his bullet-riddled body was found?
Bart,Wow. Radioactive Man Number One.
Bart,I bet it's worth a million bucks!
Bart,All I got is thirty.
Bart,"But I must. Until this moment, I never knew why God put me on this earth, but now I know... to buy that comic book."
Bart,"All right, Homer. Whoa, you really are a sport, Dad, taking us out to a fine restaurant like Krusty Burger!"
Bart,I need a hundred dollars for a comic book.
Bart,"Oh please, Dad. I want this more than anything in the world."
Bart,Please Dad.
Bart,Please Dad.
Bart,Please Dad.
Bart,Please Dad.
Bart,Please Dad.
Bart,Please Dad.
Bart,Please Dad.
Bart,Please Dad.
Bart,No.
Bart,No.
Bart,No.
Bart,No.
Bart,No.
Bart,No.
Bart,No.
Bart,No.
Bart,No.
Bart,No.
Bart,Okay.
Bart,"Aw, Mom, I couldn't ask you to do that. You're already taking care of Maggie, and Lisa is such a handful --"
Bart,Me?
Bart,Uh... nothing.
Bart,Sorry.
Bart,I NEED SOME MONEY / A LOT OF MONEY... AHH
Bart,Empty bottles... empty bottles...
Bart,"Hm... well, it's practically empty."
Bart,"Here you go, Apu."
Bart,"No, not today. I need the dime."
Bart,Ah-ha!
Bart,"Americanize this, my good man."
Bart,All those coins were only worth three lousy cents?
Bart,"Oh, this is so humiliating... I feel like such a geek."
Bart,"Terrible. Cars slow down to laugh at me, but no one's buying."
Bart,Lemonade sucks. I need a new product. Let's see... ... Ah!
Bart,"Form a line, no crowding. Cheap beer and a sympathetic ear... Step right up."
Bart,Beat it.
Bart,"Ugh, my dog ate it."
Bart,Say... writing all those tickets must make you guys thirsty. How about a couple on the house?
Bart,"So long, officers. Uh-oh."
Bart,Mrs. Glick?
Bart,"No, thanks. Who's that?"
Bart,"No, thanks."
Bart,"Oh, yes, ma'am!"
Bart,"Ugh, I think I'd rather just get to work, Ma'am."
Bart,All of 'em?
Bart,Ow!. . .Ow!
Bart,Finished.
Bart,"Listen, lady, you don't have to -- YAAAUUUUGGGHHH!"
Bart,"Hi, Mom."
Bart,"Not yet, but at least I'm in a lot of pain."
Bart,There's a reason.
Bart,"I'll sludge you, you old bat."
Bart,"Some old lady thing, nobody's heard about for fifty years?"
Bart,"Great story, lady."
Bart,Last night I dreamed I held you in my arms.
Bart,"No! No, not the iodine! Burn the germs off with a torch, amputate my arm, but not the -- YAAAUUUGGGHHH!"
Bart,Two quarters?
Bart,Two quarters!
Bart,"Listen lady, I can leave without screaming, and I can leave without saying a bad word, but there's no way that I am saying thank you."
Bart,"Moon pies, my butt... Somebody oughta moon pie her..."
Bart,"I've been bustin' my hump all week for that withered old clam, and all I got was fifty cents."
Bart,Really?
Bart,"Dad, I've done everything I could and I've only got thirty-five bucks. Ugh.. I am through with working. Working is for chumps."
Bart,Can I have it for thirty-five?
Bart,"Wait a minute, Martin. If you, Milhouse and I went in together, we could buy a copy of ""Radioactive Man No. 1"" right now!"
Bart,"Look, pal. We've got a hundred bucks and we'd like to buy ""Radioactive Man No. 1"". So why don't you just waddle over there and get it."
Bart,"Wow! Breathe it in, boys!"
Bart,"Uh-oh, looks like rain. We better get this baby home."
Bart,Uh-oh.
Bart,Now you know better.
Bart,"Listen, you guys are welcome to come over and read it any time you like."
Bart,Your house? That's crazy talk!
Bart,Perfect.
Bart,Yeah. What about Sunday?
Bart,Perfect.
Bart,Yeah! What about zero?
Bart,"Uh, uh, uh, ah nice try, Martin. It almost worked. But tonight, this comic book stays right here."
Bart,"Fine. We're all going to stay here with the comic book. It'll be like a sleep-over. Yeah, a sleep-over. That's what pals do, right? Real friendly-like."
Bart,"Nice try, mister."
Bart,"What do you mean, the last one alive?"
Bart,"Yeah, sure you did."
Bart,"I knew it. You're both against me! Well, nobody makes a sap out of Bartholemew J. Simpson."
Bart,"Sweet dreams, boys."
Bart,One more step and you're a dead man.
Bart,"Yeah, right, so do I, but you don't see me gettin' up."
Bart,Our dear friend Martin was trying to steal the comic book.
Bart,"Hmp, impressive."
Bart,"Quiet, Piggy, or we'll stick an apple in your mouth. We can't take any chances. We'll have to take turns watching him."
Bart,"Oh, so that's your little game. Let old Bart get nice and drowsy, then, when his back is turned... wham!"
Bart,"Well, it is not going to happen, see?"
Bart,"Hey Martin, tell him what we do with squealers."
Bart,The hell I can't!
Bart,"Milhouse, it's not that far to the ground. And the rain has probably softened it up a bit."
Bart,Shut up! Shut up!
Bart,"Aw, Mom."
Bart,We worked so hard and now it's all gone... We ended up with nothing because the three of us can't share.
Bart,Nothing. It just kind of ticks me off.
Bart,How many teeth do I have?
Bart,Allergies.
Bart,And?
Bart,"Hey, wait a minute. I don't have to give blood. I have rights, you know."
Bart,Is it a Bible story?
Bart,How did a lion get rich?
Bart,Oh.
Bart,"Whoa, Otto-man! You work here?"
Bart,"Yeah, Mom. We got hosed!"
Bart,You stink.
Bart,An elephant's butt?
Bart,Yup.
Bart,The last place I saw it...
Bart,...was in my hand...
Bart,...as I was shoving it into the mailbox.
Bart,"Dad, there were things in the letter that had to be said. And I know you. You're an emotional guy. Just because you were mad last night, is no guarantee you'd be mad in the morning. So I..."
Bart,"Give it up, Homer. It's locked up tight."
Bart,"Why the hose, Homer?"
Bart,"Yeah, but don't other people have mail in there?"
Bart,"Dad, the mailman is here."
Bart,"No, I mean the mailman's here."
Bart,"They always told me I was gonna destroy the family, but I never believed it."
Bart,"Eh, yeah, hello, is Mike there? Last name, Rotch."
Bart,Wow! A crowbar!
Bart,Wow! A big ugly head!
Bart,Awesome!
Bart,"Hey, man, don't bad-mouth the head."
Bart,"Hey, we got a reward. The head is cool!"
Bart,Lisa? It's six a.m. Something's wrong! Dad died!
Bart,"Well, what do you know? I'm relieved."
Bart,"Well, enjoy it while you can. Everything changes when you hit the big one-oh. Your legs start to go... candy doesn't taste as good anymore --"
Bart,Lisa did it.
Bart,"Sorry, this old timer does ramble on sometimes, don't he?"
Bart,"Okay, uh-huh. Okay, okay,. Okay, okay, okay okay, it's done! I'm doing it! Birthday gift coming your way!"
Bart,Can do.
Bart,Hm... Krusty hotline.
Bart,I tried to stop her but she overpowered me.
Bart,"Ah, my lucky red hat. Clean as a whistle!"
Bart,LISA IT'S YOUR BIRTHDAY /
Bart,"Dad, maybe you should do this."
Bart,"Oh, yeah."
Bart,"Hey, Dad. ""Do you hear voices?"""
Bart,"Yes. ""Are you quick to anger?"""
Bart,"Yes. ""Do you wet your pants?"" Well, even the best of us has an occasional accident."
Bart,HAPPY BIRTHDAY LISA /
Bart,"Hey, you want that once a year empty gesture. You got it, sis."
Bart,"Joe's Crematorium. You kill 'em, we grill 'em."
Bart,"I'm Bart Simpson, who the hell are you?"
Bart,The Michael Jackson? No way!
Bart,Uh-huh. And is Elvis with you?
Bart,"Aw, come on. If you're really Michael Jackson, who were your last four dates for the Grammys?"
Bart,"Shiver me timbers, you are Michael Jackson. Can you stay on the line while I get all my friends and relatives?"
Bart,"Well, there's probably a down-size I don't see. Uh-huh... New Bedlam Asylum... loves us... needs us... fears he may never see us again... Got it... Michael Jackson. Whoo-hoo! I love you, man."
Bart,"Hey Mom, Dad's in a mental institution."
Bart,"No, mom, you said poor house."
Bart,Poor house.
Bart,Poor house.
Bart,"Joe's Taxidermy. You snuff 'em, we stuff 'em."
Bart,"Homer, whatever they've got you on, cut the dose."
Bart,"Yes Dad, I solemnly swear I will not tell another living soul... No, not even Milhouse."
Bart,"Hello, Milhouse? Can you keep a secret?"
Bart,"Oh well, who cares. Michael Jackson is coming to my house!"
Bart,Aye carumba!
Bart,Huh?
Bart,"You know, maybe you should trust that instinct and not ask."
Bart,Hey... you.
Bart,I WISH YOU BETTER THAN YOUR HEART DESIRE /
Bart,Stiffed 'em?
Bart,I can't write a song. I'm only ten.
Bart,"Hey, Looney Tunes, this is what Michael Jackson looks like. You look like a big fat mental patient."
Bart,Just leave me alone.
Bart,"Wait, wait, Michael! You go sit at the piano and I'll boil some coffee."
Bart,"LISA, HER TEETH ARE BIG AND GREEN / LISA, SHE SMELLS LIKE GASOLINE / LISA, DA DA DA DEESA / SHE IS MY SIS-TA, HER BIRTHDAY I MISSED-TA."
Bart,I don't have any.
Bart,That's cause she knows you're looking at her.
Bart,"Well, your training wheels come off your bike."
Bart,You're just putting that in because it's commercial.
Bart,Lisa... Lisa... Lisa.
Bart,"That's right! Hope you like your present. And a-one, and a-two, and a one, two, three, four --"
Bart,HAPPY BIRTHDAY LISA /
Bart,LISA IT'S YOUR BIRTHDAY / HAPPY BIRTHDAY LISA /
Bart,LISA IT'S YOUR BIRTHDAY / HAPPY BIRTHDAY LISA...
Bart,Yeah!
Bart,"Hey, Michael. What happened to your voice?"
Bart,LISA IT'S YOUR BIRTHDAY / HAPPY BIRTHDAY LISA / LISA IT'S YOUR BIRTHDAY / HAPPY BIRTHDAY LISA...
Bart,I WISH YOU BETTER THAN YOUR HEART'S DESIRE /
Bart,LISA IT'S YOUR BIRTHDAY / HAPPY BIRTHDAY LISA / LISA IT'S YOUR BIRTHDAY / HAPPY BIRTHDAY LISA...
Bart,"Take it away, Lis."
Bart,LISA IT'S YOUR BIRTHDAY / HAPPY BIRTHDAY LISA...
Bart,"Hey, what gives, man?"
Bart,"Wow, little meatloaf men!"
Bart,"Mom, it's a nice thought, but we both know that this is the pony to bet on."
Bart,Oh baby!
Bart,"No thank you, I'd rather push this button."
Bart,"Hey, I call first bedsies!"
Bart,"Well, okay, which one do you want?"
Bart,"Really, you want that one? It's all yours. Whatever you say."
Bart,"Nothing! Have a good night's sleep, Lisa."
Bart,Nothing.
Bart,Nothing.
Bart,Good morning. This is your wake-up call.
Bart,Sorry fatso.
Bart,"""On this spot, Richard Nixon bowled back-to back-300 games."""
Bart,"Rudy my man, you're a miracle worker."
Bart,There you go... buy yourself something nice.
Bart,"Before you kill me, remember, this trip is ""All Expenses Paid."""
Bart,"Oh, this guy is awful."
Bart,Cool! A ruckus!
Bart,He already sang this song!
Bart,Cesspool cesspool cesspool cesspool cesspool...
Bart,"Lis, you taught me to stand up for what I believe in."
Bart,"You're ""it""!"
Bart,No electricity. Electricity only in freeze tag.
Bart,"Yeah, you cheater!"
Bart,Six. Seven if there's something good on.
Bart,"Yeah, but what are ya gonna do?"
Bart,"Hey Mom, how 'bout if I learn karate? Will that we make you happy?"
Bart,"Um, excuse me, sir. I already know how not to hit a guy. Can we break out the nunchucks?"
Bart,"Akira, my good man. When do we break blocks of ice with our heads?"
Bart,"Yo, sensei, can I go to the bathroom?"
Bart,Paying money to read books... the hell with this.
Bart,"Come on, Touch of death. Touch of death. Touch of death."
Bart,"Uh, I learned the touch of death."
Bart,"Permit me to demonstrate. Lisa, shut your eyes. Soon you will be at peace."
Bart,Uh-oh. Gotta get back to karate class.
Bart,You missed a spot.
Bart,"All right. Comin' through. Outta my way. Move it along. Step aside, lady."
Bart,Today we learned how to rip a man's heart out and show it to him before he dies.
Bart,"Hey, Lis. Change the channel."
Bart,I grow weary of this new channel. Change it back.
Bart,"Sounds scrump-didly-umptious, dear old Daddly-doodly."
Bart,"Hey, keep your hands off my china hutch."
Bart,"Hey Lis, something wrong?"
Bart,Uh oh.
Bart,"I think they've learned their lesson already, Lis."
Bart,Good mornin' world!
Bart,Ow!
Bart,Good morning Lisa!
Bart,"Why shouldn't I be happy? It's a beautiful day, my homework is done, I've got my mojo workin' and we're goin' on a field trip this afternoon."
Bart,And... looks like I got me a genuine glow-in-the-dark police badge.
Bart,Hey! It's not in here. You stole it!
Bart,"Hey, that's my badge, Homer."
Bart,... Lousy prize-grabbing... badge-wearing...
Bart,You ate my homework?
Bart,I didn't know dogs really did that.
Bart,Wait! Wait!
Bart,But I'm only... ... ... five... ten... twenty... forty minutes? That's pretty damn late.
Bart,Hey girls! Look at me!
Bart,You can stop lookin' at me now.
Bart,What a day.
Bart,You're making me lick envelopes?
Bart,What kind of game?
Bart,Sounds like a pretty crappy game to me.
Bart,No thir.
Bart,Tan Die Doe Dow?
Bart,Tan... Die.... Doe... Dow.
Bart,Die don't.
Bart,What next?
Bart,Uh-oh.
Bart,Hands off the material!
Bart,Eat my shorts.
Bart,Don't have a cow.
Bart,Cool!
Bart,I don't know.
Bart,I'm not sure I...
Bart,"Oh... I dunno... mixing drinks, picking horses, cuttin' cigars... you know -- a job."
Bart,Thirty bucks a week.
Bart,"I was lookin' for those. Thanks, doll."
Bart,No.
Bart,They're not mine. My boss said his warehouse was full.
Bart,Right in here my man.
Bart,I don't think so. Although it would explain an awful lot.
Bart,"Thanks... uh... Say, are you guys crooks?"
Bart,No.
Bart,Uh-uh.
Bart,I guess that's okay.
Bart,Hell no!
Bart,Supoib.
Bart,"THOSE FINGERS THROUGH MY HAIR / THAT SLY COME HITHER STARE / THAT STRIPS MY CONSCIENCE BARE / IT'S WITCHCRAFT - GIMME THREE FINGERS OF MILK, MA."
Bart,"More ""stink lines"" boys."
Bart,You ain't seen nothin'. Now beat it.
Bart,Lousy Skinner.
Bart,Of course I'm late for work. How can I be on time when Principal Skinner keeps me after school?
Bart,"He sure is, Patrone."
Bart,Uh-oh.
Bart,"That is not funny, Lewis."
Bart,That's not true! It's just a rumor! You're engaged in speculation. I know the law. You can't prove anything.
Bart,Reverend Lovejoy! You've... you've come to comfort me?
Bart,Did you kill my principal?
Bart,No! My principal!
Bart,What's that guy doing here?
Bart,Hey!
Bart,Get bent.
Bart,"Sorry Fat Tony. I used to think your gang was cool, but now I learned that crime doesn't pay."
Bart,Cool!
Bart,"""To me bestest bud Milhouse, Happy Birthday, Bart."""
Bart,"C'mon, open it open it open it."
Bart,"Aw Milhouse, just cuz your mom didn't let you have a party doesn't mean you can't get a present."
Bart,What are you girls talkin' about?
Bart,Twins. Open your present.
Bart,"They're official Krusty the Clown walkie-talkies. I'll keep one and you keep one. Now whenever you want to talk to me, just call me on the phone and tell me to turn on my walkie-talkie."
Bart,What's he talkin' about?
Bart,"Wow, brown!"
Bart,You did have a party. You didn't invite me. And I thought we were best friends.
Bart,"My best friend shafted me. I'll never get over this, Otto-man."
Bart,"Milhouse, a little salt?"
Bart,"Now we're even for your party. C'mon, let's go play."
Bart,What's she got against me?
Bart,"Bad influence my ass! How many times have I told you, never listen to your mother!"
Bart,"Whatever she's paying you, I'll double it."
Bart,Nah. I'm just depressed. Milhouse's mom won't let me play with him any more.
Bart,I had a fight with Milhouse.
Bart,One... two... three... Community chest.
Bart,Nah.
Bart,Nah.
Bart,Ah. I've won second prize in a beauty contest. Collect ten bucks.
Bart,Ha ha! You're losing.
Bart,"Don't worry mom, there's tons of these things."
Bart,I don't wanna play with Milhouse.
Bart,"It's his mom. She says I'm a bad influence. C'mon Maggie, let's go throw rocks at that hornet's nest."
Bart,Really? We can be friends again? Did your mom die?
Bart,"Who cares?! Milhouse, I'll be right there! Sorry Maggie, game's over."
Bart,"Hey Mom, I'm friends with Milhouse again."
Bart,Thanks for sticking up for me.
Bart,Who else would?
Bart,I will.
Bart,"Yes, sir?"
Bart,"Okay Milhouse, how many Krusty autographs should I put you down for?"
Bart,Consider it done.
Bart,YOU'RE WALKING ALONG THE STREET/ OR YOU'RE AT A PARTY/ OR ELSE YOU'RE ALONE/ AND THEN YOU SUDDENLY DIG... DIG... DIG.
Bart,THIS COULD BE THE START OF SOMETHING BIG...
Bart,"Aw, man."
Bart,"Dear Krusty, this is Bart Simpson, Krusty Buddy #16302 respectfully returning his Badge..."
Bart,"...I always suspected that nothing in life mattered. Now I know for sure. Get bent, Bart Simpson."
Bart,"Why bother, they'll just get dirty again."
Bart,"He is, for sure?"
Bart,God bless that clown.
Bart,Milhouse. You can come in and drop the charade.
Bart,"Krusty, you don't have to be ""on"" tonight."
Bart,"Yeah, just relax and be yourself."
Bart,"Krusty, would you do the honors?"
Bart,"Krusty, are you alright?"
Bart,"Yeah, spill your guts, man."
Bart,"Don't worry, I don't even like using the bathroom after you."
Bart,"Krusty, do you think about your father a lot?"
Bart,"Yeah, I've got a lot of fond memories."
Bart,"Goodnight, Krusty. Sorry about your dad."
Bart,No!
Bart,"Oh great, we came all this way and it's the wrong guy."
Bart,Poor Krusty.
Bart,We've got to do something.
Bart,"Reverend Lovejoy, we need you to help us find a rabbi."
Bart,Really?
Bart,"Oh, oh, that radio show."
Bart,We'll put them on later. Now can you give us the rabbi's address?
Bart,"He'll be so happy, he'll be crying in his beard."
Bart,We came to talk to you about your son.
Bart,"Hello, my name's Dimitri. I'm a first time caller, long time listener."
Bart,"My question is, ""If a son defies his father, and chooses a career that makes millions of children happy, shouldn't the father forgive the son?"""
Bart,"Don't worry, Lis. I've got a plan that can't fail."
Bart,"Yiddle my man, you're a genius."
Bart,"Speaking of charity, Rabbi Krustofsky, don't you think it's time you forgave your son?"
Bart,"Oy, this guy's tough."
Bart,"I don't know, he's pretty sharp. He saw right through this disguise."
Bart,Au revoir.
Bart,"Sorry, no. Just get us another bowl of complimentary pickles."
Bart,Those stupid hats?
Bart,"Ahhh, Noah, Noah, save us, save us... No!!"
Bart,"But... but... but, but Rabbi, does it not say in the Babylonian Talmud... And I quote, ""A child should be pushed aside with the left hand, and drawn closer with the right."""
Bart,Then doesn't your religion command you to make up with Krusty?
Bart,"Oh, it's hopeless."
Bart,At all times let a man be supple as a reed and not rigid as a cedar.
Bart,"Is it not written in the Talmud, ""Who will bring redemption? The jesters."""
Bart,"Rabbi, did not a great man say, and I quote, ""The Jews are a swinging bunch of people. I mean, I've heard of persecution, but what they went through is ridiculous! But the great thing is after thousands of years of waiting and holding on and fighting, they finally made it."" End quote."
Bart,Nope.
Bart,Nope.
Bart,Nope.
Bart,"I'm afraid not, Rabbi. It's from ""Yes, I Can"" by Sammy Davis Jr. An entertainer like your son."
Bart,Heh heh heh...Jackpot!
Bart,We would have gotten even more if Lisa could walk faster.
Bart,"Oh, yeah. Everybody in the family is gonna have a bad nightmare tonight."
Bart,I can do that but I don't wanna.
Bart,Let's wish for x-ray specs that really work.
Bart,X-ray specs.
Bart,X-ray specs.
Bart,X-ray specs.
Bart,X-ray spects.
Bart,"Okay, no more fooling around. Paw, this is Bart. I wish for the Simpsons to be rich and famous."
Bart,"Jeez, now we're slaves. This paw sucks."
Bart,Huh?... S'matter?
Bart,No.
Bart,Climb aboard.
Bart,"Less talk, more sleep."
Bart,Good morning.
Bart,"Every day, same old cat. I'll make him more interesting."
Bart,"Oh, there. That's better."
Bart,Okay.
Bart,Hi guys. Hi Otto. Move over. I'm driving.
Bart,"Quit riding the brake, Otto. Give it some gas, man."
Bart,Phone.
Bart,I love school.
Bart,I want to watch Krusty.
Bart,Do I ever!
Bart,"Good night, dad. You know, these last few days have been really swell. I wish there was something I could do to repay you."
Bart,You got it.
Bart,"I love you, dad."
Bart,Yaahhh!
Bart,We both had nightmares.
Bart,"Hey, Dad. Here's one. Twenty-eight dollars an hour, plenty of fresh air... and you get to meet lots of interesting people."
Bart,Grave digger.
Bart,Dad's missing? Get outta here.
Bart,"Hey, man, you were crushing me. I tried to scream, but my mouth was full of flab."
Bart,I'd like to open with my impression of Principal Skinner.
Bart,"Duh, look at me, I'm Principal Skinner."
Bart,"Hey, it's Lunchlady Doris. I wonder what she's got for us today. Today's special is refried dog poop."
Bart,"Hey, how come Lisa gets a pony?"
Bart,I don't love you either. So give me a moped.
Bart,"Grampa, if you wanna go right..."
Bart,... move your joystick to the left.
Bart,"Uh-oh, here comes a Xylon cruiser. Whoa, whoa, whoa! Go into hyperspace! Ready, hit it!"
Bart,"Grampa, you're the spaceship, not the..."
Bart,"Game's over, Grampa."
Bart,Busted!
Bart,"Oh my God, she killed him."
Bart,"Well, it's still fun to be up late."
Bart,"Hey, Homer, where ya goin'?"
Bart,The poor guy. Where's he working?
Bart,I can make her. Just give me five minutes alone with her.
Bart,"Hey, pink hat, when I ordered that blueberry squishee, I meant today."
Bart,And fill it to the top this time.
Bart,"Hey, Dad, you got a power drill?"
Bart,Check.
Bart,"Hey, Homer, I can't find the safety goggles for the power saw."
Bart,"Oh, check."
Bart,What?
Bart,"No, not really."
Bart,Building a Soap Box Derby racer.
Bart,"Hey, so it is."
Bart,"Well, as three-time soapbox derby champ Ronnie Beck says, ""Poorly guarded construction sites are a gold mine."""
Bart,"Oh, yeah? Are you building a racer, Martin?"
Bart,Maybe it's for the best.
Bart,"Thanks, but I'm almost done. Why don't you get back on the couch and watch TV?"
Bart,"Sorry dad, but three time Soap Box Derby champion Ronnie Beck never needed his dad's help."
Bart,"Come on Dad, it'd be weird."
Bart,"Ah come on dad, if you really want to help, you can clean these paint brushes."
Bart,"Helmets are for wusses, Sir."
Bart,Aye carumba!
Bart,"It's over there, Nelson."
Bart,What was that?
Bart,"Don't worry, Dad, as three time Soap Box derby champion Ronnie Beck says, ""Gravity is my co-pilot."""
Bart,Is it okay to visit?
Bart,"Hey man, cool crash. Way to cheat death."
Bart,"You had the best stick out there, man. I wish I could build 'em like you."
Bart,"If you don't race, then Nelson'll win!"
Bart,"Oh, I don't know if I should do that. My dad and I built our car together and if I drove someone else's it'd kill him. On the other hand... I'll do it."
Bart,"Dad... I don't know how to say this, but I don't want to drive your car. It's slow, it's ugly, it handles like a shopping cart..."
Bart,"Dad, I love you, but you taught me to win."
Bart,"Well, I picked it up somewhere. And if I drive Martin's car I can win. I'm sorry, but..."
Bart,"Dad, aren't you coming?"
Bart,"Dad, you gotta come. I just got your hat out of the fridge."
Bart,Kill spectators.
Bart,"It's my dad. Lying there on the couch drinking a beer, staring at the TV. I've never seen him like that."
Bart,Let's rock.
Bart,"Thanks, Mr. Beck. I was alone out there, but someone was riding with me in spirit... This is for you, Dad."
Bart,"Thanks, Nelson, put her there."
Bart,Ha-ha-ha-ha-ha! Loser! Nyah-nyah-nyah-nyah-nyah!
Bart,"Mom, I never won before. I may never win again. Nyah-nyah-nyah-nyah-nyah!"
Bart,"Nyah-nyah, nyah, nyah-nyah-nyah! Nyah-nyah, nyah, nyah-nyah-nyah!"
Bart,"Whoa, T and A."
Bart,Lisa's slumber party.
Bart,Who can sleep with those five evil hens cackling and plotting against me?
Bart,What the... ?
Bart,Aaahhh!
Bart,Ptew!! Ptew!! I'm telling Mom and Dad.
Bart,"Because I'm ""jinxed"" dammit!"
Bart,Ow! What was that for?
Bart,Aye carumba!
Bart,"""The Inventor I Admire"", by Bart Simpson. The inventor I admire is, not a rich man, or a famous man, or even a smart man. He's my father, Homer Simpson, creator of... the ""Flaming Homer""!"
Bart,"It's not true! My father invented that drink, and if you'll allow me to demonstrate..."
Bart,I brought enough for everybody.
Bart,Okay.
Bart,"Uh, yes, I'm looking for a friend of mine. Last name Jass, first name Hugh."
Bart,Uh... hi.
Bart,Bart Simpson.
Bart,"Uh, look. I'll level with you, mister. This is a crank call that sorta backfired and I'd like to bail out right now."
Bart,"Okay, but you promised me moe money."
Bart,"Wow, fifty-two hundred smackers."
Bart,What are we going to spend it on?
Bart,Come on everybody. It makes you feel better.
Bart,"Yo, Homer. You gotta get ready for work."
Bart,Aye carumba!
Bart,"And today, instead of buying comic books, I just read 'em and left 'em in the store."
Bart,I didn't take a bath today and I may not take one tomorrow.
Bart,"Uh yes, I'm looking for a Mrs. O'Problem. First name... Bee."
Bart,"Excuse me, I'm looking for --"
Bart,That's right. That's my pop!
Bart,"Yeah, well, I make some crank phone calls."
Bart,"Moe, for you... anything?"
Bart,"EVERY TEDDY BEAR WHO'S BEEN GOOD IS SURE OF A TREAT TODAY/ THERE'S LOTS OF MARVELOUS THINGS TO EAT, AND WONDERFUL GAMES TO PLAY/ BENEATH THE TREES, WHERE NOBODY SEES/ THEY'LL HIDE AND SEEK AS LONG AS THEY PLEASE/ TODAY'S THE DAY THE TEDDY BEARS HAVE THEIR PICNIC!"
Bart,"Hey Mr. Burns, did you get that letter I sent?"
Bart,That's because I forgot to stamp it.
Bart,"Hey, Homer, how come Mom's going to the doctor?"
Bart,I smell a bun in the oven.
Bart,"You're a machine, Homer."
