Speaker,Line
Leonard,"Anyway, um. We brought home Indian food. And, um. I know that moving can be stressful, and I find that when Iêm undergoing stress, that good food and company can have a comforting effect. Also, curry is a natural laxative, and I donêt have to tell you that, uh, a clean colon is just one less thing to worry about."
Sheldon,"Leonard, Iêm not expert here but I believe in the context of a luncheon invitation, you might want to skip the reference to bowel movements."
Penny,"Oh, youêre inviting me over to eat?"
Leonard,"Uh, yes."
Penny,"Oh, thatês so nice, Iêd love to."
Penny,"So, what do you guys do for fun around here?"
Sheldon,"Well, today we tried masturbating for money."
Leonard,"Okay, well, make yourself at home."
Penny,"Okay, thankyou."
Leonard,Youêre very welcome.
Penny,"This looks like some serious stuff, Leonard, did you do this?"
Sheldon,Actually thatês my work.
Sheldon,"Yeah, well, itês just some quantum mechanics, with a little string theory doodling around the edges. That part there, thatês just a joke, itês a spoof of the Bourne-Oppenheimer approximation."
Penny,"So youêre like, one of those, beautiful mind genius guys."
Penny,This is really impressive.
Leonard,"I have a board. If you like boards, this is my board."
Penny,Holy smokes.
Sheldon,"If by holy smokes you mean a derivative restatement of the kind of stuff you can find scribbled on the wall of any menês room at MIT, sure."
Sheldon,"Oh, come on. Who hasnêt seen this differential below _here I sit broken hearted?î"
Leonard,At least I didnêt have to invent twenty-six dimensions just to make the math come out.
Sheldon,"I didnêt invent them, theyêre there."
Leonard,In what universe?
Sheldon,"In all of them, that is the point."
Penny,"Uh, do you guys mind if I start?"
Sheldon,"Um, Penny, thatês where I sit."
Penny,"So, sit next to me. "
Sheldon,"No, I sit there."
Penny,Whatês the difference?
Sheldon,Whatês the difference?
Leonard,Here we go.
Sheldon,"In the winter that seat is close enough to the radiator to remain warm, and yet not so close as to cause perspiration. In the summer itês directly in the path of a cross breeze created by open windows there, and there. It faces the television at an angle that is neither direct, thus discouraging conversation, nor so far wide to create a parallax distortion, I could go on, but I think Iêve made my point. "
Penny,Do you want me to move?
Leonard,Just sit somewhere else.
Sheldon,Fine. 
Leonard,"Sheldon, sit!"
Leonard,Well this is nice. We donêt have a lot of company over.
Sheldon,Thatês not true. Koothrapali and Wolowitz come over all the time. 
Leonard,"Yes I now, butÑ"
Sheldon,Tuesday night we played Klingon boggle until one in the morning.
Leonard,"Yes, I remember."
Sheldon,I resent you saying we donêt have company.
Leonard,Iêm sorry.
Sheldon,That is an antisocial implication.
Leonard,I said Iêm sorry.
Penny,"So, Klingon boggle?"
Leonard,"Yeah, itês like regular boggle but, in Klingon. Thatês probably enough about us, tell us about you."
Penny,"Um, me, okay, Iêm Sagittarius, which probably tells you way more than you need to know."
Sheldon,"Yes, it tells us that you participate in the mass cultural delusion that the Sunês apparent position relative to arbitrarily defined constellations and the time of your birth somehow effects your personality."
Penny,Participate in the what?
Leonard,"I think what Sheldonês trying to say, is that Sagittarius wouldnêt have been our first guess."
Penny,"Oh, yeah, a lot of people think Iêm a water sign. Okay, letês see, what else, oh, Iêm a vegetarian, oh, except for fish, and the occasional steak, I love steak. "
Sheldon,Thatês interesting. Leonard canêt process corn.
Leonard,"Wu-uh, do you have some sort of a job?"
Penny,"Oh, yeah, Iêm a waitress at the Cheesecake Factory."
Leonard,"Oh, okay. I love cheesecake."
Sheldon,Youêre lactose intolerant. 
Leonard,"I donêt eat it, I just think itês a good idea."
Penny,"Oh, anyways, Iêm also writing a screenplay. Itês about this sensitive girl who comes to L.A. from Lincoln Nebraska to be an actress, and winds up a waitress at the Cheesecake Factory."
Leonard,So itês based on your life?
Penny,"No, Iêm from Omaha. "
Leonard,"Well, if that was a movie I would go see it."
Penny,"I know, right? Okay, letês see, what else? Um, thatês about it. Thatês the story of Penny."
Leonard,Well it sounds wonderful.
Penny,It was. Until I fell in love with a jerk. 
Sheldon,Whatês happening.
Leonard,I donêt know.
Penny,"Oh God, you know, four years I lived with him, four years, thatês like as long as High School. "
Sheldon,It took you four years to get through High School?
Penny,"I just, I canêt believe I trusted him."
Leonard,Should I say something? I feel like I should say something.
Sheldon,"You? No, youêll only make it worse."
Penny,"You want to know the most pathetic part? Even though I hate his lying, cheating guts, I still love him. Is that crazy?"
Sheldon,Yes. 
Leonard,"No, itês not crazy itês, uh, uh, itês a paradox. And paradoxes are part of nature, think about light. Now if you look at Huygens, light is a wave, as confirmed by the double slit experiments, but then, along comes Albert Einstein and discovers that light behaves like particles too. Well, I didnêt make it worse."
Penny,"Oh, Iêm so sorry, Iêm such a mess, and on top of everything else Iêm all gross from moving and my stupid shower doesnêt even work."
Leonard,Our shower works.
Penny,Really? Would it be totally weird if I used it?
Sheldon,Yes. 
Leonard,Itês right down the hall.
Penny,Thanks. You guys are really sweet.
Sheldon,Well this is an interesting development. 
Leonard,How so?
Sheldon,It has been some time since weêve had a woman take her clothes off in our apartment.
Leonard,"Thatês not true, remember at Thanksgiving my grandmother with Alzheimerês had that episode."
Sheldon,Point taken. It has been some time since weêve had a woman take her clothes off after which we didnêt want to rip our eyes out. 
Leonard,The worst part was watching her carve that turkey.
Sheldon,"So, what exactly are you trying to accomplish here?"
Leonard,Excuse me?
Sheldon,That woman in thereês not going to have sex with you.
Leonard,Well Iêm not trying to have sex with her.
Sheldon,"Oh, good. Then you wonêt be disappointed."
Leonard,"What makes you think she wouldnêt have sex with me, Iêm a male and sheês a female?"
Sheldon,"Yes, but not of the same species."
Leonard,"Iêm not going to engage in hypotheticals here, Iêm just trying to be a good neighbour."
Sheldon,"Oh, of course."
Leonard,Thatês not to say that if a carnal relationship were to develop that I wouldnêt participate. However briefly.
Sheldon,Do you think this possibility will be helped or hindered when she discovers your Luke Skywalker no-more-tears shampoo?
Leonard,Itês Darth Vader shampoo.  Luke Skywalkerês the conditioner.
Howard,Wait till you see this.
Raj,Itês fantastic. Unbelievable.
Leonard,See what?
Howard,Itês a Stephen Hawking lecture from MIT in 1974.
Leonard,This is not a good time.
Howard,Itês before he became a creepy computer voice:.
Leonard,"Thatês great, you guys have to go."
Leonard,Itês just not a good time.
Sheldon,Leonard has a lady over.
Howard,"Yeah, right, your grandmother back in town?"
Leonard,"And sheês not a lady, sheês just a new neighbour."
Howard,"Hang on, there really is a lady here?"
Howard,And you want us out because youêre anticipating coitus?
Leonard,Iêm not anticipating coitus.
Howard,So sheês available for coitus?
Leonard,Can we please stop saying coitus?
Sheldon,Technically that would be coitus interruptus.
Penny,"Hey, is there a trick to getting it to switch from tub to shower. Oh. Hi, sorry. Hello!"
Howard,"Enchante Madamoiselle. Howard Wolowitz, Cal-Tech department of Applied Physics. You may be familiar with some of my work, itês currently orbiting Jupiterês largest moon taking high-resolution digital photographs."
Penny,Penny. I work at the Cheesecake Factory.
Leonard,"Come on, Iêll show you the trick with the shower."
Howard,Bon douche.
Penny,Iêm sorry?
Howard,Itês French for good shower. Itês a sentiment I can express in six languages.
Leonard,"Save it for your blog, Howard."
Leonard,"Uh, there it goes, it sticks, Iêm sorry."
Penny,Okay. Thanks. 
Leonard,"Youêre welcome, oh, youêre going to step right, okay, IêllÑ."
Penny,"Hey, Leonard?"
Leonard,The hair products are Sheldonês.
Penny,"Um, okay. Can I ask you a favour."
Leonard,"A favour? Sure, you can ask me a favour, I would do you a favour for you."
Penny,Itês okay if you say no.
Leonard,"Oh, Iêll probably say yes."
Penny,Itês just not the kind of thing you ask a guy youêve just met.
Sheldon,I really think we should examine the chain of causality here.
Leonard,Must we?
Sheldon,"Event A. A beautiful woman stands naked in our shower. Event B. We drive half way across town to retrieve a television set from the aforementioned womanês ex-boyfriend. Query, on what plane of existence is there even a semi-rational link between these events?"
Leonard,"She asked me to do her a favour, Sheldon."
Sheldon,"Ah, yes, well that may be the proximal cause of our journey, but we both know it only exists in contradistinction to the higher level distal cause."
Leonard,Which is?
Sheldon,You think with your penis.
Leonard,Thatês a biological impossibility and you didnêt have to come.
Sheldon,"Oh, right, yes, I could have stayed behind and watched Wolowitz try to hit on Penny in Russian, Arabic and Farsi. Why canêt she get her own TV."
Leonard,"Come on, you know how it is with break-ups."
Sheldon,No I donêt. And neither do you.
Leonard,"Wuh, I, I broke up with Joyce Kim."
Sheldon,"You did not break up with Joyce Kim, she defected to North Korea."
Leonard,To mend her broken heart. This situation is much less complicated. Thereês some kind of dispute between Penny and her ex-boyfriend as to who gets custody of the TV. She just wanted to avoid having a scene with him.
Sheldon,So we get to have a scene with him?
Leonard,"No, Sheldon, thereês not going to be a scene. Thereês two of us and one of him."
Sheldon,"Leonard, the two of us canêt even carry a TV. "
Penny,"So, you guys work with Leonard and Sheldon at the University?"
Penny,"Uh, Iêm sorry, do you speak English?"
Howard,"Oh, he speaks English, he just canêt speak to women."
Penny,"Really, why?"
Howard,Heês kind of a nerd. Juice box?
Leonard,Iêll do the talking.
Leonard,"Hi, Iêm Leonard, this is Sheldon."
Leonard,"What did I justÑ. Uh, weêre here to pick up Pennyês TV."
Sheldon,"Okay, thanks for your time."
Leonard,Weêre not going to give up just like that.
Sheldon,"Leonard, the TV is in the building, weêve been denied access to the building, ergo we are done."
Leonard,"Excuse me, if I were to give up at the first little hitch I never would have been able to identify the fingerprints of string theory in the aftermath of the big bang."
Sheldon,My apologies. Whatês your plan.
Sheldon,Itês just a privilege to watch your mind at work.
Leonard,"Come on, we have a combined IQ of 360, we should be able to figure out how to get into a stupid building."
Sheldon,What do you think their combined IQ is?
Leonard,Just grab the door.
Leonard,This is it.  Iêll do the talking.
Sheldon,"Good thinking, Iêll just be the muscle."
Leonard,"Iêm Leonard, this is Sheldon."
Sheldon,From the intercom.
Leonard,Oh. Weêre scientists.
Sheldon,Tell him about our IQ.
Sheldon,My mom bought me those pants.
Leonard,Iêm sorry.
Sheldon,Youêre going to have to call her.
Leonard,"Sheldon, Iêm so sorry I dragged you through this."
Sheldon,"Itês okay. It wasnêt my first pantsing, and it wonêt be my last."
Leonard,"And you were right about my motives, I was hoping to establish a relationship with Penny that might have some day led to sex."
Sheldon,Well you got me out of my pants.
Leonard,"Anyway, Iêve learned my lesson. Sheês out of my league, Iêm done with her, Iêve got my work, one day Iêll win the Nobel Prize and then Iêll die alone."
Sheldon,"Donêt think like that, youêre not going to die alone."
Leonard,"Thank you Sheldon, youêre a good friend."
Sheldon,And youêre certainly not going to win a Nobel Prize.
Howard,"This is one of my favourite places to kick back after a quest, they have a great house ale."
Penny,"Wow, cool tiger."
Howard,"Yeah, Iêve had him since level ten. His name is Buttons. Anyway, if you had your own game character we could hang out, maybe go on a quest."
Penny,"Uh, sounds interesting."
Howard,So youêll think about it?
Penny,"Oh, I donêt think Iêll be able to stop thinking about it."
Leonard,Weêre home.
Penny,"Oh, my God, what happened?"
Leonard,"Well, your ex-boyfriend sends his regards and I think the rest is fairly self-explanatory."
Penny,"Iêm so sorry, I really thought if you guys went instead of me he wouldnêt be such an ass."
Leonard,"No, it was a valid hypothesis."
Sheldon,That was a valid hypothesis? What is happening to you?
Penny,"Really, thank you so much for going and trying youêre, uh, youêre so terrific. Why donêt you put some clothes on, Iêll get my purse and dinner is on me, okay?"
Leonard,Really? Great.
Sheldon,"Thank you. Youêre not done with her, are you?"
Leonard,Our babies will be smart and beautiful.
Sheldon,Not to mention imaginary.
Leonard,Is Thai food okay with you Penny?
Sheldon,"We canêt have Thai food, we had Indian for lunch."
Sheldon,Theyêre both curry based cuisines.
Sheldon,They would be gastronomically redundant. I can see weêre going to have to spell out everything for this girl.
Penny,Any ideas Raj? 
Howard,Turn left on Lake Street and head up to Colorado. I know a wonderful little sushi bar that has karaoke.
Penny,That sounds like fun.
Howard,"Baby, baby donêt get hooked on me. Uh, baby, baby donêt get hooked on me."
Sheldon,"I donêt know what your odds are in the world as a whole, but as far as the population of this car goes, youêre a veritable Mack Daddy."
Leonard,"There you go, Pad Thai, no peanuts."
Howard,But does it have peanut oil?
Leonard,"Uh, Iêm not sure, everyone keep an eye on Howard in case he starts to swell up."
Sheldon,"Since itês not bee season, you can have my epinephrine."
Raj,Are there any chopsticks?
Sheldon,"You donêt need chopsticks, this is Thai food."
Leonard,Here we go.
Sheldon,"Thailand has had the fork since the latter half of the nineteenth century. Interestingly they donêt actually put the fork in their mouth, they use it to put the food on a spoon which then goes into their mouth."
Leonard,"Ask him for a napkin, I dare you.  Iêll get it."
Howard,Do I look puffy? I feel puffy.
Penny,Hey Leonard.
Leonard,"Oh, hi Penny."
Penny,Am I interrupting.
Sheldon,"Youêre not swelling, Howard."
Howard,"No, no, look at my fingers, theyêre like Vienna sausages."
Penny,Sounds like you have company.
Leonard,"Theyêre not going anywhere.  So, youêre coming home from work. Thatês great. How was work."
Penny,"Well, you know, itês the Cheesecake Factory. People order cheesecake, and I bring it to them."
Leonard,"So, you sort of act as a carbohydrate delivery system."
Penny,"Yeah, call it whatever you want, I get minimum wage. Yeah, anyways, I was wondering if you could help me out with something, I wasÑ."
Penny,"Oh. Okay, great, Iêm having some furniture delivered tomorrow, and I may not be here, soÑ.  Oh! HelÑhello!"
Penny,Iêm sorry?
Howard,Havenêt you ever been told how beautiful you are in flawless Russian?
Penny,"No, I havenêt."
Howard,Get used to it.
Penny,"Yeah, I probably wonêt, butÑ Hey Sheldon."
Penny,"Hey Raj!  Still not talking to me, huh?"
Sheldon,"Donêt take it personally, itês his pathology, he canêt talk to women."
Howard,"He canêt talk to attractive women, or in your case a cheesecake_scented Goddess!"
Leonard,"So, thereês gonna be some furniture delivered?"
Penny,"Yeah, yeah, if it gets here and Iêm not here tomorrow could you just sign for it and have them put it in my apartment."
Leonard,"Yeah, no problem."
Penny,"Great, hereês my spare key. Thank you."
Leonard,"Penny, wait."
Leonard,"Um, if you donêt have any other plans, do you want to join us for Thai food and a Superman movie marathon?"
Penny,"A marathon? Wow, how many Superman movies are there?"
Sheldon,"Youêre kidding, right?"
Penny,"Yeah, I do like the one where Lois Lane falls from the helicopter and Superman swooshes down and catches her, which one was that? "
Sheldon,You realise that scene was rife with scientific inaccuracy.
Penny,"Yes, I know, men canêt fly."
Sheldon,"Oh no, letês assume that they can. Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now travelling at approximately 120 miles per hour, hits them, and is immediately sliced into three equal pieces. "
Leonard,"Unless, Superman matches her speed and decelerates. "
Sheldon,"In what space, sir, in what space? Sheês two feet above the ground. Frankly, if he really loved her, heêd let her hit the pavement. It would be a more merciful death."
Leonard,"Excuse me, your entire argument is predicated on the assumption that Supermanês flight is a feat of strength."
Sheldon,"Are you listening to yourself, it is well established that Supermanês flight is a feat of strength, it is an extension of his ability to leap tall buildings, an ability he derives from Earthês yellow Sun."
Howard,"Yeah, and you donêt have a problem with that, how does he fly at night."
Sheldon,"Uh, a combination of the moonês solar reflection and the energy storage capacity of Kryptonian skin cells."
Penny,Iêm just going to go wash up.
Leonard,"I have 26 hundred comic books in there, I challenge you to find a single reference to Kryptonian skin cells."
Sheldon,Challenge accepted.  Weêre locked out.
Raj,"Also, the pretty girl left."
Leonard,"Okay, her apartmentês on the fourth floor but the elevatorês broken so youêre going to have to  oh, youêre just going to be done, okay, cool, thanks. I guess weêll just bring it up ourselves."
Sheldon,I hardly think so. 
Leonard,Why not?
Sheldon,"Well, we donêt have a dolly, or lifting belts, or any measurable upper body strength."
Leonard,"We donêt need strength, weêre physicists. We are the intellectual descendents of Archimedes. Give me a fulcrum and a lever and I can move the Earth, itês just a matterÑ  I donêt have thisÑ I donêt have this I donêt have this."
Sheldon,Archimedes would be so proud.
Leonard,Do you have any ideas?
Sheldon,"Yes, but they all involve a green lantern and a power ring."
Leonard,"Easy, easy  Okay! Now weêve got an inclined plane. The force required to lift is reduced by the sine of the angle of the stairs, call it thirty degrees, so about half. "
Sheldon,Exactly half.
Leonard,"Exactly half. Letês push. Okay, see, itês moving, this is easy, all in the math. "
Sheldon,Whatês your formula for the corner.
Leonard,"Oh, okay, uh, okay, yeah, no problem, just come up here and help me pull and turn."
Sheldon,"Ah, gravity, thou art a heartless bitch."
Sheldon,You do understand that our efforts here will in no way increase the odds of you having sexual congress with this woman?
Leonard,Men do things for women without expecting sex.
Sheldon,"Yeah, those are men who just had sex."
Leonard,"Iêm doing this to be a good neighbour. In any case, thereês no way it could lower the odds."
Leonard,"Almost there, almost there, almost there. "
Sheldon,"No weêre not, no weêre not, no weêre not."
Sheldon,"Watch your fingers. Watch your fingers. Oh God, my fingers!"
Leonard,You okay?
Sheldon,"No, it hurtÑ  Great Caesarês Ghost, look at this place?"
Leonard,So Pennyês a little messy.
Sheldon,"A little messy? The Mandelbrot set of complex numbers is a little messy, this is chaos. Excuse me, explain to me an organisational system where a tray of flatware on a couch is valid. Iêm just inferring that this is a couch, because the evidence suggests the coffee tableês having a tiny garage sale. "
Leonard,"Did it ever occur to you that not everyone has the compulsive need to sort, organise and label the entire world around them?"
Leonard,"Well they donêt. Hard as it may be for you to believe, most people donêt sort their breakfast cereal numerically by fibre content."
Sheldon,"Excuse me, but I think weêve both found that helpful at times."
Leonard,"Come on, we should go."
Sheldon,Hang on.
Leonard,What are you doing?
Sheldon,Straightening up.
Leonard,"Sheldon, this is not your home."
Sheldon,"This is not anyoneês home, this is a swirling vortex of entropy."
Leonard,"When the transvestite lived here, you didnêt care how he kept the place."
Sheldon,"Because it was immaculate, I mean, you open that manês closet, it was left to right, evening gowns, cocktail dresses, then his police uniforms."
Leonard,What were you doing in his closet?
Sheldon,I helped run some cable for a webcam.
Penny,Hey guys.
Leonard,"Oh, hey Penny, this just arrived, we just brought this up, just now."
Penny,Great. Was it hard getting it up the stairs?
Leonard,"Well, weêll get out of your hair."
Penny,"Oh, great, thank you again ."
Sheldon,"Penny, I just want you to know that, you donêt have to live like this. Iêm here for you."
Penny,Whatês he talking about?
Leonard,Itês a joke.
Penny,I donêt get it.
Leonard,"Yeah, he didnêt tell it right."
Leonard,Sheldon? Hello? 
Sheldon,Sssshhhh! Pennyês sleeping.
Leonard,"Are you insane, you canêt just break into a womanês apartment in the middle of the night and clean."
Sheldon,"I had no choice. I couldnêt sleep knowing that just outside my bedroom was our living room, and just outside our living room was that hallway, and immediately adjacent to that hallway wasÑ this."
Leonard,"Do you realise that if Penny wakes up, there is no reasonable explanation as to why weêre here?"
Sheldon,I just gave you a reasonable explanation.
Leonard,"No, no. You gave me an explanation, itês reasonableness will be determined by a jury of your peers."
Sheldon,Donêt be ridiculous. I have no peers.
Leonard,"Sheldon, we have to get out of here."
Sheldon,You might want to speak in a lower register.
Sheldon,"Evolution has made women sensitive to high pitched noises while they sleep, so that theyêll be roused by a crying baby. If you want to avoid waking her, speak in a lower register."
Leonard,Thatês ridiculous. 
Sheldon,"No,  thatês ridiculous."
Leonard,"Fine. I accept your premise, now please letês go."
Sheldon,I am not leaving until Iêm done.
Leonard,O-o-o-oh! .
Sheldon,"If you have time to lean, you have time to clean."
Leonard,"Oh, what the hell."
Leonard,Morning. 
Sheldon,"I have to say, I slept splendidly. Granted, not long, but just deeply and well."
Leonard,Iêm not surprised. A well known folk cure for insomnia is to break into your neighbourês apartment and clean.
Leonard,You think?
Sheldon,"Granted, my methods may have been somewhat unorthodox, but I think the end result will be a measurable enhancement of Pennyês quality of life."
Leonard,"You know what, youêve convinced me, maybe tonight we should sneak in and shampoo her carpet."
Sheldon,You donêt think that crosses a line?
Leonard,"Yes! For Godês sake, Sheldon, do I have to hold up a sarcasm sign every time I open my mouth."
Sheldon,You have a sarcasm sign?
Leonard,"No, I do not have a sarcasm sign."
Sheldon,"Do you want some cereal. Iêm feeling so good today Iêm going to choose from the low fibre end of the shelf. Hello, Honey Puffs."
Penny,Son of a Bitch!
Leonard,Pennyês up.
Penny,"You sick, geeky bastards!"
Leonard,How did she know it was us?
Sheldon,I may have left a suggested organisational schematic for her bedroom closet.
Leonard,"God, this is going to be bad."
Sheldon,"Goodbye, Honey Puffs, hello Big Bran."
Penny,You came into my apartment last night when I was sleeping?
Leonard,"Yes, but, only to clean."
Sheldon,"Really more to organise, youêre not actually dirty, per se."
Penny,Give me back my key.
Leonard,"Iêm very, very sorry."
Penny,Do you understand how creepy this is.
Leonard,"Oh, yes, we discussed it at length last night."
Penny,"In my apartment, while I was sleeping."
Sheldon,"And snoring. And thatês probably just a sinus infection, but it could be sleep apnoea, you might want to see an otolaryngologist. Itês a throat doctor."
Penny,And what kind of doctor removes shoes from asses?
Sheldon,"Depending on the depth, thatês either a proctologist or a general surgeon.  Oh!"
Leonard,"Okay, look, no Penny, I think what youêre feeling is perfectly valid, and maybe a little bit later today when youêre feeling a little bit less, for lack of a better word, violated, maybe we could talk about this some more."
Penny,Stay away from me.
Leonard,"Sure, thatês another way to go."
Sheldon,"Penny, Penny, just to clarify because there will be a discussion when you leave, is your objection solely to our presence in the apartment while you were sleeping, or do you also object to the imposition of a new organisational paradigm.  Well that was a little non-responsive."
Leonard,You are going to march yourself over there right now and apologise.  Whatês funny?
Sheldon,That wasnêt sarcasm?
Sheldon,"Wooh, boy, you are all over the place this morning.  I have a masters and two PhDês, I should not have to do this."
Sheldon,"I am truly sorry for what happened last night, I take full responsibility. And I hope that it wonêt colour your opinion of Leonard, who is not only a wonderful guy, but also, I hear, a gentle and thorough lover.  I did what I could."
Penny,"Hey Raj.  Hey, listen, I donêt know if you heard about what happened last night with Leonard and Sheldon, but Iêm really upset about it, I mean they just, they let themselves into my place, and then they cleaned it, I mean can you even believe that? How weird is that?"
Raj,"Ooh, sheês standing very close to me. Oh my, she does smell good. What is that, vanilla?"
Penny,"You know, where I come from, someone comes into your house at night, you shoot, okay? And you donêt shoot to wound. I mean, alright, my sister shot her husband, but it was an accident, they were drunk. What was I saying?"
Raj,"Sheês so chatty. Maybe my parents are right. Maybe Iêd be better off with an Indian girl. Weêd have the same cultural background, and my wife would sing to my children the same lullabies my mother sang to me. "
Penny,"Itês obvious that they meant well, but Iêm just, Iêm having a really rough time, like I said, I broke up with my boyfriend, and itês just freaking me out."
Penny,"I mean, just because most of the men Iêve known in my life happen to be jerks, doesnêt mean I should just assume Leonard and Sheldon are. Right?"
Penny,Thatês exactly what I thought. Thank you for listening. Youêre a doll. 
Howard,"Grab a napkin, homie. You just got served. "
Leonard,Itês fine. You win.
Howard,Whatês his problem?
Sheldon,His imaginary girlfriend broke up with him.
Howard,Been there.
Raj,"Hello. Sorry Iêm late. But I was in the hallway, chatting up Penny."
Howard,"Really? You? Rajesh Koothrapali, spoke to Penny?"
Raj,"Actually, I was less the chatter than the chattee."
Leonard,What did she say? Is she still mad at me?
Raj,"Well, she was upset at first, but, probably because her sister shot somebody. Then there was something about you andÑ then she hugged me."
Howard,She hugged you? How did she hug you?  Is that her perfume I smell?
Raj,"intoxicating, isnêt it?"
Penny,Whatês going on?
Leonard,"Um, hereês the thing.  Penny. Just as Oppenheimer came to regret his contributions to the first atomic bomb, so too I regret my participation in what was, at the very least, an error in judgement. The hallmark of the great human experiment is the willingness to recognise oneês mistakes. Some mistakes, such as Madame Curieês discovery of Radium turned out to have great scientific potential even though she would later die a slow, painful death from radiation poisoning. Another example, from the field of ebola researchÑ."
Leonard,Six two inch dowels.
Leonard,"One package, Phillips head screws."
Penny,"Guys, seriously, I grew up on a farm, okay, I rebuilt a tractor engine when I was like twelve, I think I can put together a cheap Swedish media centre. "
Leonard,"No, please, we insist, itês the least we can do considering. "
Sheldon,Considering what? How great this place looks?
Howard,"Oh boy, I was afraid of this."
Howard,These instructions are a pictographic representation of the least imaginative way to assemble these components. This right here is why Sweden has no space program.
Penny,"Well, uh, it looked pretty good in the store."
Leonard,"It is an inefficient design, for example Penny has a flat screen TV, which means all the space behind it is wasted."
Sheldon,We could put her stereo back there.
Leonard,And control it how?
Sheldon,"Run an infra-red repeater, photocell here, emitter here, easy peasy. "
Howard,"Good point, how you gonna cool it?"
Penny,"Hey guys, I got this. "
Sheldon,"Hang on Penny. How about fans, here and here?"
Leonard,"Also inefficient, and might be loud."
Howard,"How about liquid coolant? Maybe a little aquarium pump here, run some quarter inch PVCÑ"
Penny,"Guys, this is actually really simple."
Howard,"Hold on, honey, men at work. The PVC comes down here, maybe a little corrugated sheet metal as a radiator here."
Leonard,"Oh, really, show me where we put a drip tray, a sluice and an overflow reservoir?"
Sheldon,And if water is involved weêre going to have to ground the crap out of the thing. 
Penny,"Guys, itês hot in here, I think Iêll just take off all my clothes. "
Leonard,"Oh, Iêve got it. How about if we replace panels A, B and F and crossbar H with aircraft grade aluminium. "
Sheldon,"Right, then the entire thingês one big heat sink."
Howard,"Perfect, Leonard, why donêt you and Sheldon go down to the junk yard and pick up about six square metres of scrap aluminium, Raj and I will run down to my lab and get the oxy-acetaline torch."
Leonard,Meet back here in an hour?
Leonard,Got it. .
Penny,"Okay, this place does look pretty good."
